卫视[tsfile_6332],#genre#
安徽卫视,http://111.59.63.32:9901/tsfile/live/1027_1.m3u8
北京卫视,http://111.59.63.32:9901/tsfile/live/1030_1.m3u8
广东卫视,http://111.59.63.32:9901/tsfile/live/1032_1.m3u8
广西卫视,http://111.59.63.32:9901/tsfile/live/1003_1.m3u8
贵州卫视,http://111.59.63.32:9901/tsfile/live/1036_1.m3u8
黑龙江卫视,http://111.59.63.32:9901/tsfile/live/1045_1.m3u8
湖北卫视,http://111.59.63.32:9901/tsfile/live/1044_1.m3u8
吉林卫视,http://111.59.63.32:9901/tsfile/live/1043_1.m3u8
江苏卫视,http://111.59.63.32:9901/tsfile/live/1025_1.m3u8
江西卫视,http://111.59.63.32:9901/tsfile/live/1042_1.m3u8
内蒙古卫视,http://111.59.63.32:9901/tsfile/live/1038_1.m3u8
宁夏卫视,http://111.59.63.32:9901/tsfile/live/1040_1.m3u8
山西卫视,http://111.59.63.32:9901/tsfile/live/1046_1.m3u8
深圳卫视,http://111.59.63.32:9901/tsfile/live/1033_1.m3u8
新疆卫视,http://111.59.63.32:9901/tsfile/live/1039_1.m3u8
浙江卫视,http://111.59.63.32:9901/tsfile/live/1031_1.m3u8
CCTV1,http://111.59.63.32:9901/tsfile/live/1008_1.m3u8
CCTV10,http://111.59.63.32:9901/tsfile/live/1017_1.m3u8
CCTV12,http://111.59.63.32:9901/tsfile/live/1019_1.m3u8
CCTV13,http://111.59.63.32:9901/tsfile/live/1020_1.m3u8
CCTV15,http://111.59.63.32:9901/tsfile/live/1022_1.m3u8
CCTV17,http://111.59.63.32:9901/tsfile/live/1023_1.m3u8
CCTV2,http://111.59.63.32:9901/tsfile/live/1009_1.m3u8
CCTV3,http://111.59.63.32:9901/tsfile/live/1010_1.m3u8
CCTV4,http://111.59.63.32:9901/tsfile/live/1011_1.m3u8
CCTV5,http://111.59.63.32:9901/tsfile/live/1012_1.m3u8
CCTV6,http://111.59.63.32:9901/tsfile/live/1013_1.m3u8
CCTV7,http://111.59.63.32:9901/tsfile/live/1014_1.m3u8
CCTV8,http://111.59.63.32:9901/tsfile/live/1015_1.m3u8
CCTV9,http://111.59.63.32:9901/tsfile/live/1016_1.m3u8

央视卫视[goodiptv_bestv],#genre#
安徽卫视,https://live.goodiptv.club/api/bestv.php?id=ahwshd8m/8000000
东南卫视,https://live.goodiptv.club/api/bestv.php?id=dnwshd8m/8000000
甘肃卫视,https://live.goodiptv.club/api/bestv.php?id=gswshd8m/8000000
广西卫视,https://live.goodiptv.club/api/bestv.php?id=gxwshd8m/8000000
河南卫视,https://live.goodiptv.club/api/bestv.php?id=hnwshd8m/8000000
黑龙江卫视,https://live.goodiptv.club/api/bestv.php?id=hljwshd8m/8000000
湖北卫视,https://live.goodiptv.club/api/bestv.php?id=hubeiws8m/8000000
江苏卫视,https://live.goodiptv.club/api/bestv.php?id=jswshd8m/8000000
江西卫视,https://live.goodiptv.club/api/bestv.php?id=jxws8m/8000000
辽宁卫视,https://live.goodiptv.club/api/bestv.php?id=lnwshd8m/8000000
山东卫视,https://live.goodiptv.club/api/bestv.php?id=sdws8m/8000000
深圳卫视,https://live.goodiptv.club/api/bestv.php?id=szwshd8m/8000000
天津卫视,https://live.goodiptv.club/api/bestv.php?id=tjwshd8m/8000000
云南卫视,https://live.goodiptv.club/api/bestv.php?id=ynwshd8m/8000000
CCTV1,https://live.goodiptv.club/api/bestv.php?id=cctv1hd8m/8000000
